f,creator,date,date is approximate?,description,subject,location,features,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Middle Fork of the Salmon River below Pistol Creek through trees,"Benedict, M.S.",1937,yes,A view through trees of the middle fork of the Salmon River below Pistol Creek in the Salmon-Challis National Forest.,national forests; creeks; rivers,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.719149,-115.1438,,363467,United States Forest Service,IntermtnPics21,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,176,archivalidaho176,image,archivalidaho176.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho176.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho176_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho176_th.jpg,
Two men pose on Striped Peak,"Morris, W.W.",1910,yes,Photo text: 'View of burned timber from Striped Peak July 1911. Palmer and Morris.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; people; portraits;  burns; big burn,"Coeur d'Alene National Forest, Idaho",,,47.439638,-115.996567,,,United States Forest Service,pic_2014-09-30_004854,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,177,archivalidaho177,image,archivalidaho177.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho177.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho177_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho177_th.jpg,
Individuals look at a view of the Sawtooth Range,"Bieler, P.S.",1940,,"Photo text: 'Looking north from Sawtooth Forest Highway, U.S. Highway 93, into the Sawtooth Valley at the head of the Salmon river. Sawtooth Mountains in background.'",national forests; mountains; peaks; landscapes; roads; people; views,"Sawtooth Valley, Idaho",,,44.16296,-114.88397,NARA College Park; RG 95; GP Series; Box 158,398376,United States Forest Service,NARA0815DC124,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,178,archivalidaho178,image,archivalidaho178.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho178.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho178_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho178_th.jpg,
Farming country with Snake River,"Stevens, A.W. Capt.",1923,,This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; rivers; fields; farming; farm land; agriculture; roads,"Bingham County, Idaho",,,43.173537,-112.494985,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army70,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,179,archivalidaho179,image,archivalidaho179.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho179.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho179_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho179_th.jpg,
Aerial images of Bear Valley and March Creek 6,,1955,,Aerial images of Bear Valley and March Creek 6,national forests; aerials; valleys; creeks,"Boise National Forest, Idaho",Bear Valley; Salmon River,,44.426941,-115.27615,NARA College Park; RG 22 E 261 Fish and Wildlife Series; Biological Survey Photos; River Basin Studies; Box 434 Salmon River,,United States Forest Service,NARA0815DC137,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,180,archivalidaho180,image,archivalidaho180.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho180.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho180_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho180_th.jpg,
"Rapids on Salmon River, one mile west of Shoup",Muir,1961,,Photo text: 'Aug. 1961.',national forest; rivers; rapids,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,rapids; Salmon River,45.362151,-114.30441,,510023,United States Forest Service,IntermtnPics134,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,181,archivalidaho181,image,archivalidaho181.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho181.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho181_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho181_th.jpg,
Pack train leaving Powell Ranger Station,"Fickes, C.P.",1931,,Pack train leaving Powell Ranger Station,ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,"Nez Perce-Clearwater National Forest, Idaho",,,46.509884,-114.711216,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,283943,United States Forest Service,R1EngrPics13a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,182,archivalidaho182,image,archivalidaho182.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho182.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho182_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho182_th.jpg,
Rock face on Middle Fork of Salmon above Camas Creek,"Benedict, M.S.",1937,,A rock face above the middle fork of the Salmon River above Camas Creek in the Salmon-Challis National Forest.,national forests; rock features; rock face; rivers,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.903356,-114.726012,,363438,United States Forest Service,IntermtnPics30,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,183,archivalidaho183,image,archivalidaho183.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho183.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho183_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho183_th.jpg,
CCC workers grinding and hauling away excess gravel,,1940,yes,A group of CCC workers from Mountain Home Camp G-99 work to remove excess soil. A large ditch is dig that a truck can pass through. A platform is build over with the grinder on top of it. Grind from large rocks falls through hole in platform directly in bed of truck below. Image part of CCC-Idaho Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; roads; construction; people; crew; trucks; machinery,"Mountain Home, Idaho",,,43.13281,-115.69656,NARA College Park; Still Photo Branch; RG 49; GLO/BLM 1953- WLM Series Box 6 GLO Camp G-99; Mtn. Home Camp; 1940,,,NARA16DC127,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,184,archivalidaho184,image,archivalidaho184.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho184.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho184_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho184_th.jpg,
Seafoam Ranger Station,,1999,,Seafoam Ranger Station,national forests; ranger; stations; buildings,"Salmon-Challis National Forest, Idaho",,,44.541267,-115.069836,,,,Sal13Chal87,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,185,archivalidaho185,image,archivalidaho185.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho185.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho185_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho185_th.jpg,
Car and hauling trailer,,1936,yes,"Photo text: 'Trailer designed for hauling horses, equipment, and rodent bait.' This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.",cars; trailers; agriculture; pesticides; mixing stations; extension; predations; poison,"Aberdeen, Idaho",,,42.956818,-112.828407,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 39,,,2017DC26,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,186,archivalidaho186,image,archivalidaho186.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho186.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho186_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho186_th.jpg,
A geographic bar in the Payette National Forest,,1937,yes,A view of the landscape at a  geographic bar in the Salmon-Challis National Forest.,national forests; creeks; rivers; bars; landscapes,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.862726,-115.819796,,363498,United States Forest Service,IntermtnPics20,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,187,archivalidaho187,image,archivalidaho187.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho187.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho187_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho187_th.jpg,
Roots and trunks of burned trees across trails,"Morris, W.W.",1910,yes,Photo text: 'Great tree trunks were piled across the trails in twisted and broken tangles.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; burns; big burn; trails,"Wallace, Idaho",,,47.762646,-116.38998,,,United States Forest Service,pic_2014-09-30_005257b,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,188,archivalidaho188,image,archivalidaho188.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho188.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho188_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho188_th.jpg,
"Mount Snowyside, Sawtooth Primitive Area","Benedict, M.S.",1937,,A photograph of Mount Snowyside in the Sawtooth Primitive Area.,national forests; mountains; peaks; ridges; landscapes,"Snowyside Peak, Idaho",,,43.93824,-114.97147,NARA College Park; RG 95; GP Series; Box 158,418626,United States Forest Service,NARA0815DC120,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,189,archivalidaho189,image,archivalidaho189.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho189.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho189_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho189_th.jpg,
CCC workers with fence roll,,1940,yes,CCC workers from Mountain Home Camp G-99 work on fence. Image part of CCC-Idaho Indian Division.,CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; buildings; roads; construction; people; crew; trucks; machinery; fences,"Mountain Home, Idaho",,,43.13281,-115.69656,NARA College Park; Still Photo Branch; RG 49; GLO/BLM 1953- WLM Series Box 22 GLO Camp G-99; Mtn. Home Camp; 1940,,,NARA16DC138,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,190,archivalidaho190,image,archivalidaho190.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho190.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho190_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho190_th.jpg,
Man next to fence between alfalfa field and sagebrush,W.J.L.,1910,,Photo text: 'Transfer from sagebrush desert to fields of alfalfa. View shows sagebrush on one side of fence and alfalfa on other.' Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; train stations; trains; sagebrush; fields; alfalfa; agriculture,"Minidoka, Idaho",,,42.755364,-113.495567,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 90,,,NARA16DC199,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,191,archivalidaho191,image,archivalidaho191.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho191.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho191_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho191_th.jpg,
Shepp Ranch,,1930,yes,Shepp Ranch,national forests; ranches; buildings,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,,45.435447,-115.665261,,,,Sal13Chal113,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,192,archivalidaho192,image,archivalidaho192.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho192.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho192_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho192_th.jpg,
"Root Knob Lookout, ranger on steps",,1952,,Photo text: 'One to be destroyed as now abandoned. Under structure badly deteriorated. Ranger Val Simpson on steps.',fire lookouts; lookouts; towers; rangers; ranger stations; peaks;  points; log; cabins; buildings; national forests,"Payette National Forest, Idaho",,,45.334077,-114.989805,,,United States Forest Service,Payette78,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,193,archivalidaho193,image,archivalidaho193.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho193.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho193_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho193_th.jpg,
Big Creek at mouth of Monumental Creek,,1905,yes,This is image is part of a report on lands found unsuitable for reserve purposes.,mountains; canyons; creeks; surveys; national forests,"payette national forest, idaho; salmon-challis national forest, idaho",,,45.160202,-115.130652,,52214,United States Forest Service,OGDEN53,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,194,archivalidaho194,image,archivalidaho194.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho194.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho194_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho194_th.jpg,
"River bank protection work, Spalding","Johnston, S.L.",1937,,"Photo text: 'Spalding Indian Firewood Boom Grounds--Bank protection Project work completed under 1937 program.' Note: This image is part of a pictorial supplement to a report on the North Idaho Agency and the Civilian Conservation Corps - Indian Division by Sidney L. Johnston, Assoc. Forest Engineer.",CCC; Civilian Conservation Corps; Indian; division; roads; floods; flooding; debris; erosion; control,"Spalding, Idaho",,,46.44683,-116.81737,NARA DC; RG 75; E 1000 CCC - Indian Division; North Idaho Agency; Box 151,,,NARA16DC236b,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,195,archivalidaho195,image,archivalidaho195.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho195.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho195_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho195_th.jpg,
Eastern Brook Trout,,1926,yes,"Photo text: 'Eastern Brook, Upper, and Landlocked salmon, lower, from Toxaway Lake.' 'Dolly Varden or Bull Trout from Red Fish Lake' This image is part of a report by the United States Department of Agriculture Biological Survey and the Wildlife Management Division.",wildlife; lakes; mountains; fish; fishing; fly fishing; surveys; trout,"Stanley, Idaho; Sawtooth National Forest, Idaho",Red Fish Lake,,44.111788,-114.963009,NARA College Park; RG 95; E 73; Division of Wildlife Management; Box 20,,,NARA10Wldlf159,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,196,archivalidaho196,image,archivalidaho196.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho196.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho196_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho196_th.jpg,
Trapper and Cougar dogs,,1935,,"Photo text: 'Roy Tumelson with pack outfit and cougar dogs Salmon River, Winter 1935.' This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.",trappers; animals; hunters; coyote killers; predation; predators; dogs; national forests,"Payette National Forest, Idaho",,,45.435178,-115.977846,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 41,,,2017DC66,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,197,archivalidaho197,image,archivalidaho197.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho197.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho197_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho197_th.jpg,
"Moose Creek Ranger Station, bunk house","Flint, H.R.",1922,yes,"Two photographs of the bunk houses at the Moose Creek Ranger Station, Bitterroot National Forest.",ranger stations; guard stations; log; buildings; cabins; national forests,"Bitterroot National Forest, Idaho; Selway-Bitterroot Wilderness, Montana",,,46.127102,-114.917013,,,United States Forest Service,moosecrkbunkhouses,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,198,archivalidaho198,image,archivalidaho198.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho198.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho198_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho198_th.jpg,
Cattle on way to summer range,,1926,,Cattle being driven through Bear Valley in Payette National Forest on the way to their summer range.,national forests; cattle; trails; livestock,"Boise National Forest, Idaho; Payette National Forest, Idaho",Bear Valley,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.410913,-115.37207,,210221,United States Forest Service,IntermtnPics10,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,199,archivalidaho199,image,archivalidaho199.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho199.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho199_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho199_th.jpg,
"Forest patrol on horseback, issuing campfire permit","Benedict, M.S.",1937,yes,Photo text: 'Patrol issuing campfire permit.',national forests; horses; rivers; riders; rangers; patrol; people permit,"Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho",,,45.239376,-114.497639,,363461,United States Forest Service,IntermtnPics96,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,200,archivalidaho200,image,archivalidaho200.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho200.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho200_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho200_th.jpg,
Man poses in cut alfalfa field near homestead,W.J.L.,1910,,Photo text: 'First cutting of alfalfa on Adams homestead. Entire water right paid for.' Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; train stations; trains; sagebrush; fields; alfalfa; agriculture,"Rupert, Idaho",,,42.623724,-113.660302,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 90,,,NARA16DC200,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,201,archivalidaho201,image,archivalidaho201.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho201.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho201_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho201_th.jpg,
"Bear Valley, looking north","Stevens, A.W. Capt.",1925,,This image is part of a series of aerials taken by the Army Air Corps.,aerials; Idaho; landscapes; valley; creeks,"Boise National Forest, Idaho",Bear Valley,,44.42691,-115.275161,Army Air Corps - Airscapes Idaho,,Army Air Corps,Army15,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,202,archivalidaho202,image,archivalidaho202.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho202.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho202_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho202_th.jpg,
Barley harvest in bags,,1937,yes,"Photo caption: 'Treaching outfit. David Arthur, Kamiah Harvesting Barley, nearly all Indian labor.' This image is part of a report regarding farm organizations among tribes in Northern Idaho and the CCC-Indian Division.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; people; farming; agriculture; harvest,"Kamiah, Idaho; Nez Perce Reservation, Idaho",,,46.36935,-115.91847,NARA DC; RG 75; E 121 Northern Idaho Agency; CCF 031; Box 31,,,NARA16DC088a,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,203,archivalidaho203,image,archivalidaho203.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho203.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho203_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho203_th.jpg,
Aerial images of Bear Valley and March Creek 8,,1955,,Aerial images of Bear Valley and March Creek 8,national forests; aerials; valleys; creeks,"Boise National Forest, Idaho",Bear Valley; Salmon River,,44.426941,-115.27615,NARA College Park; RG 22 E 261 Fish and Wildlife Series; Biological Survey Photos; River Basin Studies; Box 434 Salmon River,,United States Forest Service,NARA0815DC139,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,204,archivalidaho204,image,archivalidaho204.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho204.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho204_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho204_th.jpg,
Memorial for White US Soldiers in Nez Perce War,"Parker, Aaron F., Fletcher, R.H.",1940,yes,"Photo caption on back: 'Photo of graves of soldiers and civilians killed in the Nez Perce Indian War. Secured by R.H. Fletcher from Aaron F. Parker, Grangeville, Idaho.' Sign to left reads: Nez Perce Indian War started 1877. Monument reads: Before you to the Westward lies the historic Whitebird battle ground of the Nez Perce Indian War in which thirty-five men gave up their lives in service for their country June 17, 1877. Beneath this shaft lies one of those brave men, laid to rest where he fell.",graves; Nez Perce; marker; monument,"White bird, Idaho; Nez Perce National Park, Idaho",,,46.447067,-116.819812,,,United States National Park Service,NARA10StlPht63c,black and white print,image/jpeg,image;stillimage,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,205,archivalidaho205,image,archivalidaho205.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho205.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho205_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho205_th.jpg,
Slopes in Johnson Creek Canyon,,1905,yes,This is image is part of a report on lands found unsuitable for reserve purposes.,mountains; canyons; creeks; surveys; national forests,"Valley County, Idaho",,,44.555675,-115.552498,,42487,United States Forest Service,OGDEN55,black and white print,image/jpeg,image;stillimage,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",https://creativecommons.org/publicdomain/mark/1.0/,eng,206,archivalidaho206,image,archivalidaho206.jpg,https://objects.lib.uidaho.edu/archivalidaho/archivalidaho206.jpg,https://objects.lib.uidaho.edu/archivalidaho/small/archivalidaho206_sm.jpg,https://objects.lib.uidaho.edu/archivalidaho/thumbs/archivalidaho206_th.jpg,
